exactMatch,f1
1,1.0
0,0.0
0,0.0
0,0.8333333333333334
0,0.5
0,0.0
0,0.0
0,0.5
0,0.2857142857142857
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.4
0,0.0
0,0.0
0,0.04166666666666667
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.6666666666666666
0,0.0
0,0.0
0,0.0
1,1.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.4912280701754386
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.11764705882352941
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.8571428571428571
0,0.0
0,0.0
0,0.0
0,0.0
0,0.4
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
1,0.8333333333333334
0,0.0
0,0.0
0,0.6666666666666666
1,1.0
0,0.0
1,1.0
1,1.0
0,0.8571428571428571
1,1.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.2857142857142857
1,1.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
1,1.0
0,0.0
1,1.0
0,0.7499999999999999
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.5
1,1.0
0,0.0
0,0.0
1,1.0
0,0.22222222222222224
0,0.0
0,0.8571428571428571
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.3243243243243243
0,0.0
0,0.0
0,0.0
0,0.7272727272727273
0,0.0
0,0.0
0,0.0
0,0.9090909090909091
0,0.6666666666666666
0,0.0
0,0.0
1,1.0
0,0.0
0,0.8
0,0.5714285714285715
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
1,1.0
0,0.0
0,0.5714285714285715
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.6666666666666666
0,0.0
0,0.048
1,1.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.5
1,0.8000000000000002
0,0.2857142857142857
0,0.5
0,0.0
0,0.0
0,0.0
0,0.0
0,0.4615384615384615
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.6666666666666666
0,0.0
0,0.5
1,1.0
1,1.0
0,0.0
0,0.0
0,0.8333333333333334
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.6666666666666667
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.9090909090909091
0,0.0
0,0.0
0,0.0
0,0.0
0,0.41379310344827586
0,0.0
0,0.0
0,0.11764705882352941
0,0.9411764705882353
0,0.0
0,0.8333333333333333
0,0.6666666666666665
0,0.7499999999999999
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.1111111111111111
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.8
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.9090909090909091
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.6666666666666666
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.6666666666666666
0,0.0
0,0.0
0,0.8
0,0.0
0,0.22222222222222224
0,0.0
0,0.0
0,0.5
0,0.0
0,0.0
1,1.0
0,0.5
0,0.0
0,0.0
0,0.4
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.6666666666666666
1,1.0
0,0.0
0,0.0
0,0.1142857142857143
0,0.0
0,0.0
0,0.0
1,1.0
1,1.0
0,0.0
0,0.0
0,0.8
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
1,1.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.12121212121212122
0,0.0
0,0.4444444444444445
1,1.0
1,1.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.26666666666666666
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
0,0.5
0,0.25
0,0.0
0,0.0
0,0.0
0,0.5714285714285715
0,0.0
1,1.0
0,0.6666666666666666
0,0.0
0,0.0
0,0.0
0,0.0
0,0.3076923076923077
0,0.0
0,0.0
0,0.0
1,1.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.5
0,0.0
1,1.0
0,0.0
0,0.0
0,0.8
0,0.0
0,0.6666666666666666
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
1,1.0
1,1.0
0,0.5714285714285715
0,0.0
0,0.8
0,0.0
1,1.0
0,0.125
1,1.0
1,1.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.18181818181818182
0,0.0
0,0.0
0,0.5714285714285715
0,0.0
1,1.0
1,1.0
0,0.0
0,0.0
0,0.8
0,0.6666666666666666
0,0.33333333333333337
1,1.0
0,0.0
0,0.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.9090909090909091
1,1.0
0,0.0
0,0.0
1,1.0
1,1.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.5
0,0.0
1,1.0
1,1.0
0,0.4
0,0.8
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.0
0,0.22222222222222224
0,0.16666666666666669
0,0.0
0,0.0
